Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
Gabriel,DEF,Arsenal,6.1,21.5,4.7,0,0,0,0,0,0,0,3,23,10.0,9.0,1.0,2.0,1.0,1.0,4500.0,162.89592760180994,22.25,0.25,0.0,360,89,1,0.08,2.21,5.75,0.105,1.9575,90.0,4,3.7704918032786887,0.02,0.8737704918032787,0.018055555555555554,1.0,1.0,1.3737704918032787
Grealish,MID,Everton,6.7,20.1,7.3,0,0,0,2,2,4,0,2,24,5.0,2.0,3.0,7.0,4.0,3.0,178.75,62.71929824561404,33.35664335664335,1.2587412587412588,0.0,286,106,4,1.6,4.56,6.0,1.085,3.5925,71.5,3,3.582089552238806,0.5034965034965035,0.9731343283582089,0.4545454545454546,0.5140783584128885,0.18998661985570173,1.3576072083481743
Pedro Porro,DEF,Spurs,5.6,25.2,5.0,0,0,0,0,0,0,0,3,21,8.0,3.0,5.0,1.0,1.0,0.0,653.8461538461538,83.95061728395062,24.08823529411765,0.0,0.0,340,91,0,0.52,4.05,5.25,0.545,3.0325,85.0,4,3.7500000000000004,0.13764705882352943,0.9196428571428573,0.12426470588235294,0.9348806509056645,0.8525098067899057,1.3458977605378102
L.Paquetá,MID,West Ham,5.9,3.0,7.0,1,1,2,0,0,0,0,1,23,6.0,3.0,3.0,12.0,9.0,3.0,240.7142857142857,81.20481927710843,20.83086053412463,0.5341246290801187,0.0,337,78,2,1.4,4.15,5.75,0.845,3.295,84.25,4,3.8983050847457625,0.37388724035608306,1.059322033898305,0.33753709198813053,0.3824877058439154,0.09400302265805596,1.3450844223383343
Tavernier,MID,Bournemouth,5.5,1.6,6.0,1,0,1,0,0,0,0,2,20,6.0,3.0,3.0,5.0,1.0,4.0,291.22807017543863,121.16788321167884,17.620481927710845,0.8132530120481928,0.0,332,65,3,1.14,2.74,5.0,0.8975,2.7325,83.0,4,3.6363636363636362,0.3090361445783132,0.9818181818181819,0.2789909638554216,0.6411056689066511,0.360917362546768,1.3317510996704496
Sánchez,GKP,Chelsea,5.0,23.9,5.7,0,0,0,0,0,0,11,2,19,16.0,9.0,7.0,7.0,4.0,3.0,,149.37759336099583,17.75,0.25,2.75,360,71,1,0.0,2.41,4.75,0.0,2.075,90.0,4,3.8,0.0,1.0260000000000002,0.0,0.9885459403799549,0.5386527335906109,1.2953263667953057
Richarlison,FWD,Spurs,6.7,14.1,6.3,2,0,2,0,1,1,0,2,20,8.0,3.0,5.0,1.0,1.0,0.0,254.4554455445545,66.75324675324676,31.51750972762646,1.050583657587549,0.0,257,90,3,1.01,3.85,5.0,0.9525,2.7125,64.25,3,2.9850746268656714,0.35369649805447473,0.8238805970149253,0.31930933852140075,0.9348806509056645,0.8525098067899057,1.2947780271665383
Zubimendi,MID,Arsenal,5.5,1.8,3.0,2,0,2,0,0,0,0,3,25,10.0,9.0,1.0,2.0,1.0,1.0,3600.0,162.89592760180994,20.75,0.75,0.0,360,83,3,0.1,2.21,6.25,0.11249999999999999,1.9575,90.0,4,4.545454545454546,0.025,0.9,0.022569444444444444,1.0,1.0,1.26015625
Ekitiké,FWD,Liverpool,8.8,30.7,7.3,1,1,2,1,0,1,0,2,24,9.0,5.0,4.0,4.0,2.0,2.0,209.0909090909091,111.98501872659176,24.381270903010037,1.5050167224080269,0.0,299,81,5,1.43,2.67,6.0,1.4024999999999999,2.3049999999999997,74.75,4,2.727272727272727,0.4304347826086956,0.7409090909090909,0.3885869565217391,0.9738507260431454,0.3854569225319805,1.2566209754589743
Garner,MID,Everton,5.0,0.3,5.3,1,0,1,0,0,0,0,2,21,5.0,2.0,3.0,7.0,4.0,3.0,2117.6470588235293,64.1711229946524,24.75,0.75,0.0,360,99,3,0.17,5.61,5.25,0.23000000000000004,4.5825,90.0,4,4.2,0.0425,1.0539999999999998,0.03836805555555556,0.5140783584128885,0.18998661985570173,1.2511930504445108
